FID,gid,entidad,geom,fna,gna,nam,fun,fdc,sag
puntos_de_transporte_ferroviario_AN070.299,299,0,POINT (-61.51959247499997 -34.342946575999974),Estación Fortín Acha,Estación,Fortín Aca,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.300,300,0,POINT (-61.133264090999944 -34.127322780999975),Estación Ferré,Estación,Ferré,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.301,301,0,POINT (-60.563369310999974 -33.89874979799998),Estación Pergamino,Estación,Pergamino,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.302,302,0,POINT (-59.352957885999956 -34.647993079999935),Estación Gowland,Estación,Gowland,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.303,303,0,POINT (-59.43147246999996 -34.65683960699994),Estación Mercedes P.,Estación,Mercedes P.,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.304,304,0,POINT (-59.432417456999985 -34.65771080799993),Estación Mercedes,Estación,Mercedes,6,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.305,305,0,POINT (-59.52363127999996 -34.64433641699998),Estación San Jacinto,Estación,San Jacinto,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.306,306,0,POINT (-59.630081538999946 -34.610286980999945),Estación Franklin,Estación,Franklin,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.307,307,0,POINT (-59.89731938099993 -34.61067678499995),Estación Castilla,Estación,Castilla,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.308,308,0,POINT (-59.287354353999945 -34.60205792399995),Estación Goldney,Estación,Goldney,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.309,309,0,POINT (-59.206702108999934 -34.55565337699994),Estación Cortines,Estación,Cortines,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.310,310,0,POINT (-58.68476507999998 -34.56385454399998),Estación Bella Vista,Estación,Bella Vista,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.311,311,0,POINT (-58.71297061399997 -34.544241667999984),Estación San Miguel,Estación,San Miguel,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.312,312,0,POINT (-58.70094242099998 -34.53283433599995),Estación General Lemos,Estación,General Lemos,6,IGN/Metrovías,IGN
puntos_de_transporte_ferroviario_AN070.313,313,0,POINT (-58.67881414599998 -34.54885824899998),Estación Teniente Agneta,Estación,Teniente Agneta,6,IGN/Metrovías,IGN
puntos_de_transporte_ferroviario_AN070.314,314,0,POINT (-58.65996724599995 -34.562659818999975),Estación Sargento Barrufaldi,Estación,Sargento Barrufaldi,6,IGN/Metrovías,IGN
puntos_de_transporte_ferroviario_AN070.315,315,0,POINT (-57.895316700999956 -35.87384584299997),Estación Lezama,Estación,Lezama,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.316,316,0,POINT (-62.908022881999955 -35.11272815199993),Estación Los Laureles,Estación,Los Laureles,4,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.317,317,0,POINT (-62.76831121699996 -35.20422175999994),Estación Cuenca,Estación,Cuenca,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.318,318,0,POINT (-62.51223758799995 -35.13274872599993),Estación Hereford,Estación,Hereford,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.319,319,0,POINT (-62.64597321999997 -35.30332857899998),Estación Drysdale,Estación,Drysdale,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.320,320,0,POINT (-62.42201609699998 -35.38842125299993),Estación Carlos Tejedor,Estación,Carlos Tejedor,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.321,321,0,POINT (-62.26985487199994 -35.20594135299996),Estación Necol,Estación,Necol,4,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.322,322,0,POINT (-62.23793177699997 -35.13741953799996),Estación Pasteur,Estación,Pasteur,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.323,323,0,POINT (-62.392685651999955 -35.12772094099995),Estación Encina,Estación,Encina,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.324,324,0,POINT (-62.25193770699997 -35.07133422299995),Estación Nueva Suiza,Estación,Nueva Suiza,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.325,325,0,POINT (-61.97310260699999 -35.140495407999936),Estación Roberts,Estación,Roberts,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.326,326,0,POINT (-61.996652842999936 -35.38976543799998),Estación Carlos Salas,Estación,Carlos Salas,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.327,327,0,POINT (-61.51597796999994 -35.08751075499998),Estación El Triunfo,Estación,El Triunfo,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.328,328,0,POINT (-62.97967754699994 -35.92075456799995),Estación Lerlora,Estación,Lerlora,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.329,329,0,POINT (-62.73718439199996 -35.96734440499995),Estación Trenque Lauquen,Estación,Trenque Lauquen,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.330,330,0,POINT (-62.06993616099999 -35.84717686099998),Estación Francisco Madero,Estación,Francisco Madero,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.331,331,0,POINT (-62.63708018199998 -35.917598417999955),Estación Primera Junta,Estación,Primera Junta,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.332,332,0,POINT (-62.51206649299996 -35.857240917999945),Estación Berutti,Estación,Berutti,2,IGN/Ministerio de Transporte de la Nación,IGN
