FID,gid,entidad,geom,fna,gna,nam,fun,atv,fdc,sag
puntos_de_transporte_aereo_GB001.55,55,1,POINT (-61.84472532999996 -31.88731374599996),Aeródromo San Jorge,Aeródromo,San Jorge,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.61,61,1,POINT (-64.21333794699996 -35.05682494699994),Aeródromo Realicó,Aeródromo,Realicó,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.62,62,1,POINT (-63.72612723299994 -33.36504499599994),Aeródromo Alejandro Roca,Aeródromo,Alejandro Roca,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.63,63,1,POINT (-63.31398741399994 -33.45549186699998),Aeródromo La Carlota,Aeródromo,La Carlota,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.64,64,1,POINT (-62.317633788999956 -32.64798265299993),Aeródromo Leones,Aeródromo,Leones,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.69,69,1,POINT (-59.33953302899994 -26.31717204399996),Aeródromo El Colorado,Aeródromo,El Colorado,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.70,70,1,POINT (-58.15438296599996 -32.26160701099997),Aeródromo Colón,Aeródromo,Colón,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.71,71,1,POINT (-58.01633991799997 -31.30816621499997),Aeroclub Concordia,Aeroclub,Concordia,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.73,73,1,POINT (-59.575263535999966 -30.745346062999943),Aeroclub La Paz,Aeroclub,La Paz,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.74,74,1,POINT (-59.74968058699994 -32.39731646299998),Aeródromo Nogoyá,Aeródromo,Nogoyá,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.76,76,1,POINT (-64.56388601299994 -31.964865561999943),Aeroclub Villa General Belgrano,Aeroclub,Villa General Belgrano,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.77,77,1,POINT (-62.98567255299997 -35.49923225699996),Aeródromo América,Aeródromo,América,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.78,78,1,POINT (-60.04531722099995 -34.07973235199995),Aeroclub Arrecifes,Aeroclub,Arrecifes,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.79,79,1,POINT (-61.38669839199997 -34.22237119299996),Aeródromo Arribeños,Aeródromo,Arribeños,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.80,80,1,POINT (-59.88774934299994 -36.83403883699998),Aeródromo Azul,Aeródromo,Azul,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.81,81,1,POINT (-58.79589760099998 -34.30023765999994),Aeródromo Belén de Escobar,Aeródromo,Belén de Escobar,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.82,82,1,POINT (-60.57874573699996 -35.33141277899995),Aeródromo Haras Trelliris,Aeródromo,Haras Trelliris,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.1070,1070,1,POINT (-60.144332615999986 -51.50563852499994),,,,-1,-1,Imagery,IGN
puntos_de_transporte_aereo_GB001.84,84,1,POINT (-62.471243421999986 -35.42513500499996),Aeródromo Carlos Tejedor,Aeródromo,Carlos Tejedor,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.85,85,1,POINT (-60.37680928599997 -31.75532093299995),Aeroclub Paraná,Aeroclub,Paraná,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.86,86,1,POINT (-60.21951706999994 -31.734355625999967),Aeródromo Paraná,Aeródromo,Paraná,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.88,88,1,POINT (-59.18967699399997 -32.324541367999984),Aeródromo Rosario del Tala,Aeródromo,Rosario del Tala,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.89,89,1,POINT (-58.89640986999996 -32.693648364999945),Aeródromo Urdinarrain,Aeródromo,Urdinarrain,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.90,90,1,POINT (-59.073058257999946 -31.849565911999946),Aeródromo Villaguay,Aeródromo,Villaguay,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.91,91,1,POINT (-59.03376897099997 -31.80597388299998),Aeródromo El Jagüel,Aeródromo,El Jagüel,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.92,92,1,POINT (-59.41058999999996 -31.692109999999957),Aeródromo El Malagueño,Aeródromo,El Malagueño,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.93,93,1,POINT (-59.03905332299996 -28.520373983999946),Aeródromo Bella Vista,Aeródromo,Bella Vista,6,9,IGN/ANAC,IGN
