FID,gid,entidad,geom,fna,gna,nam,fun,fdc,sag
puntos_de_transporte_aereo_GB035.954,954,2,POINT (-60.674614575999954 -32.99359089799998),Helipuerto Unidad Regional II de Policía,Helipuerto,Unidad Regional II de Policía,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.956,956,2,POINT (-61.76612038999997 -34.871539825999946),Helipuerto Establecimiento La Bélgica,Helipuerto,Establecimiento La Bélgica,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.958,958,2,POINT (-57.98707045699996 -35.54968608699994),Helipuerto Blue,Helipuerto,Blue,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.974,974,2,POINT (-60.698537933999944 -33.09042148299994),Helipuerto Comisario General Don Mariano Savia,Helipuerto,Comisario General Don Mariano Savia,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.993,993,2,POINT (-71.17004288099997 -39.81581648699995),,,,-1,ESRI-World_Imagery,IGN
puntos_de_transporte_aereo_GB035.994,994,2,POINT (-71.04640713899994 -39.85273215199993),,,,-1,ESRI-World_Imagery,IGN
puntos_de_transporte_aereo_GB035.998,998,2,POINT (-71.53384129899996 -41.05467525199998),Helipuerto San Carlos de Bariloche - Complejo Llao Llao,Helipuerto,San Carlos de Bariloche - Complejo Llao Llao,6,ESRI-World_Imagery/Ministerio de Transporte  de la Nación/ANAC,IGN
puntos_de_transporte_aereo_GB035.1002,1002,2,POINT (-71.28539970099996 -40.15219959299998),Helipuerto Rancho de Montaña,Helipuerto,Rancho de Montaña,6,ESRI-World_Imagery_2010/IGN04/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_aereo_GB035.1003,1003,2,POINT (-71.36659947199996 -40.04405959099995),Helipuerto Estancia La Candelaria,Helipuerto,Estancia La Candelaria,6,ESRI-World_Imagery_2010/IGN04/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_aereo_GB035.1011,1011,2,POINT (-70.04232675499998 -40.161307112999964),Helipuerto Transener S.A.,Helipuerto,Transener S.A.,6,IGN04/ANAC,IGN
puntos_de_transporte_aereo_GB035.1015,1015,2,POINT (-68.87266569599996 -32.86266129799998),Helipuerto Base Cóndor,Helipuerto,Base Cóndor,6,IGN,IGN
puntos_de_transporte_aereo_GB035.1016,1016,2,POINT (-66.29605239499995 -30.348750559999928),Helipuerto Chamical,Helipuerto,Chamical,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.1018,1018,2,POINT (-58.20573825799994 -34.744791591999956),Helipuerto Aeródromo Ezpeleta,Helipuerto,Aeródromo Ezpeleta,6,IGN,IGN
puntos_de_transporte_aereo_GB035.1020,1020,2,POINT (-60.55111473399995 -24.729486965999968),Helipuerto Aeródromo Las Lomitas,Helipuerto,Aeródromo Las Lomitas,6,IGN,IGN
puntos_de_transporte_aereo_GB035.1025,1025,2,POINT (-68.86013593799998 -38.04857482799997),Helipuerto San Roque,Helipuerto,San Roque,-1,Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_aereo_GB035.1031,1031,2,POINT (-71.38417533699999 -41.16671216699996),Helipuerto Arelauquen,Helipuerto,Arelauquen,6,IGN04/Ministerio de Transporte de la Nación/Sitio web del complejo,IGN
puntos_de_transporte_aereo_GB035.1032,1032,2,POINT (-71.41053955699994 -41.12081637799997),Helipuerto Escuela Militar de Montaña Teniente General Juan Domingo Perón,Helipuerto,Escuela Militar de Montaña Teniente General Juan Domingo Perón,6,IGN04/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_aereo_GB035.1075,1075,2,POINT (-60.59897199999995 -52.153936999999985),,,,-1,Imagery,IGN
puntos_de_transporte_aereo_GB035.1076,1076,2,POINT (-58.626094999999964 -51.69296699999995),,,,-1,Imagery,IGN
puntos_de_transporte_aereo_GB035.1077,1077,2,POINT (-60.06605399999995 -51.94889399999994),,,,-1,Imagery,IGN
puntos_de_transporte_aereo_GB035.1078,1078,2,POINT (-60.130611999999985 -51.49529599999994),,,,-1,Imagery,IGN
puntos_de_transporte_aereo_GB035.1079,1079,2,POINT (-58.11281508099995 -51.67358161599998),,,,-1,Imagery,IGN
puntos_de_transporte_aereo_GB035.1088,1088,2,POINT (-58.47564987299995 -51.82086891999995),,,,-1,Imagery,IGN
