FID,gid,entidad,objeto,fna,gna,nam,sag,fun,geom,fdc
areas_de_actividad_agropecuaria_AL270.764,764,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.142470026999945 -34.910411334999935, -58.14242202999998 -34.910447535999936, -58.14237334599994 -34.910484259999976, -58.13983281299994 -34.912400624999975, -58.141633630999934 -34.91402058799997, -58.14422833399993 -34.91206332599995, -58.14427084799996 -34.91203125499993, -58.14429959199998 -34.91201013699998, -58.14427680599994 -34.91199026499993, -58.14409074599996 -34.91182799699993, -58.14402602599995 -34.911771553999984, -58.14388938899998 -34.91165238899998, -58.143365277999976 -34.911195291999945, -58.142470026999945 -34.910411334999935)))",IGN
areas_de_actividad_agropecuaria_AL270.765,765,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.13689728099996 -34.90554913999995, -58.137548322999976 -34.90504595999994, -58.13634386899997 -34.90398830399994, -58.13569282699996 -34.904491476999965, -58.13689728099996 -34.90554913999995)))",IGN
areas_de_actividad_agropecuaria_AL270.766,766,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.17637417599997 -34.852475166999966, -58.17603064999997 -34.85277298799997, -58.176636867999946 -34.853248160999954, -58.17698039399994 -34.85295033899996, -58.17637417599997 -34.852475166999966)))",IGN
areas_de_actividad_agropecuaria_AL270.827,827,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-59.021058987999936 -35.158971502999975, -59.02145594499996 -35.159618716999944, -59.02314732999997 -35.15878165399994, -59.02258641099996 -35.15786692599994, -59.021058987999936 -35.158971502999975)))",Esri-word_Imagery_2010
areas_de_actividad_agropecuaria_AL270.818,818,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-59.13195158999997 -35.16427511099994, -59.135416272999976 -35.16427511099994, -59.13542770799995 -35.16277717899993, -59.13200876299999 -35.16272000599997, -59.13195158999997 -35.16427511099994)))",Esri-word_Imagery_2010
areas_de_actividad_agropecuaria_AL270.819,819,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-59.14143861699995 -35.163161257999946, -59.142604552999956 -35.16347058799994, -59.14312803399997 -35.162423624999974, -59.142604552999956 -35.162090500999966, -59.14198589299997 -35.16194773299998, -59.14143861699995 -35.163161257999946)))",Esri-word_Imagery_2010
areas_de_actividad_agropecuaria_AL270.820,820,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-59.161330910999936 -35.14700471799995, -59.16247305199994 -35.14771855599997, -59.16373416599998 -35.14667159399994, -59.16242546299998 -35.14602913899995, -59.161330910999936 -35.14700471799995)))",Esri-word_Imagery_2010
areas_de_actividad_agropecuaria_AL270.821,821,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-59.15719064899997 -35.15380997699998, -59.158427967999955 -35.15478555599998, -59.16016497499999 -35.15347685199998, -59.158570735999945 -35.152739218999955, -59.15719064899997 -35.15380997699998)))",Esri-word_Imagery_2010
areas_de_actividad_agropecuaria_AL270.822,822,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-59.15088507699994 -35.160615234999966, -59.15102784499999 -35.161590813999965, -59.152384136999956 -35.161448045999975, -59.15219377999995 -35.16044867299996, -59.15088507699994 -35.160615234999966)))",Esri-word_Imagery_2010
areas_de_actividad_agropecuaria_AL270.823,823,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-59.14581682499994 -35.14776614599998, -59.147577625999986 -35.14928900099994, -59.148648383999955 -35.14876551899994, -59.14688758199998 -35.14714748599994, -59.14581682499994 -35.14776614599998)))",Esri-word_Imagery_2010
areas_de_actividad_agropecuaria_AL270.824,824,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-59.156072301999984 -35.15078806099996, -59.15780930799997 -35.15212055899997, -59.15930836899997 -35.15062149899995, -59.15757136199994 -35.149693508999974, -59.156072301999984 -35.15078806099996)))",Esri-word_Imagery_2010
areas_de_actividad_agropecuaria_AL270.825,825,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-59.14308044499995 -35.164826880999954, -59.143984639999985 -35.165612102999944, -59.14538852199996 -35.164493756999946, -59.144650888999934 -35.16377991799993, -59.14308044499995 -35.164826880999954)))",Esri-word_Imagery_2010
areas_de_actividad_agropecuaria_AL270.826,826,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-59.07791033899997 -35.14815256999998, -59.07788559299996 -35.148709363999956, -59.07961783999997 -35.14859800499994, -59.07961783999997 -35.148140196999975, -59.07791033899997 -35.14815256999998)))",Esri-word_Imagery_2010
areas_de_actividad_agropecuaria_AL270.828,828,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-59.01145434099993 -35.156701941999984, -59.01198937099997 -35.15730600799998, -59.013232019999975 -35.156443055999944, -59.012783285999944 -35.15589076799995, -59.01145434099993 -35.156701941999984)))",Esri-word_Imagery_2010
areas_de_actividad_agropecuaria_AL270.829,829,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.958888713999954 -35.65086354799996, -58.96107296099996 -35.65106414199994, -58.96129584299996 -35.650596088999976, -58.95969109099997 -35.64890218299996, -58.95766286099996 -35.648768453999935, -58.95743997899996 -35.64890218299996, -58.957194808999986 -35.64921421799994, -58.958888713999954 -35.65086354799996)))",IGN
areas_de_actividad_agropecuaria_AL270.830,830,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.96533001399996 -35.650618376999944, -58.96740281899997 -35.65086354799996, -58.967625701999964 -35.650596088999976, -58.966087812999945 -35.64925879499998, -58.96405958399998 -35.649125064999964, -58.96394814299998 -35.64937023599998, -58.96510713099997 -35.65050693599994, -58.96533001399996 -35.650618376999944)))",IGN
areas_de_actividad_agropecuaria_AL270.831,831,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.91345740199995 -35.541703697999935, -58.91324325099998 -35.54198923399997, -58.91331463499995 -35.54315516899993, -58.91307668899998 -35.54365485599993, -58.91500405199997 -35.543773828999974, -58.915265792999946 -35.543726239999955, -58.91543235499995 -35.54341690999996, -58.915551327999935 -35.54187026099993, -58.915170613999976 -35.54189405499994, -58.913838115999965 -35.54179887699996, -58.91345740199995 -35.541703697999935)))",IGN
areas_de_actividad_agropecuaria_AL270.832,832,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.88470084599999 -35.54150069399998, -58.883792950999975 -35.54202671699994, -58.88548703299995 -35.54591379999994, -58.88639332799994 -35.547888710999985, -58.88843023199996 -35.547089211999946, -58.88947719399994 -35.54918313699994, -58.890200550999964 -35.548992779999935, -58.888963230999934 -35.54640392699997, -58.88824652699998 -35.54645783099994, -58.88749748299995 -35.544938178999985, -58.88685026899998 -35.54318689599995, -58.88623421099999 -35.54153844399997, -58.88498477199994 -35.54185439699995, -58.88470084599999 -35.54150069399998)))",IGN
areas_de_actividad_agropecuaria_AL270.833,833,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.87343010899997 -35.546246881999934, -58.87421234899995 -35.547264618999975, -58.876035325999965 -35.54626376899995, -58.87507193699997 -35.545271302999936, -58.87343010899997 -35.546246881999934)))",IGN
areas_de_actividad_agropecuaria_AL270.834,834,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.84188700599998 -35.585138495999956, -58.84342799899997 -35.58531212899993, -58.844165938999936 -35.58333705399997, -58.84179412599997 -35.58243029899995, -58.841458630999966 -35.58351913299998, -58.842104046999964 -35.583749431999934, -58.84188700599998 -35.585138495999956)))",IGN
areas_de_actividad_agropecuaria_AL270.835,835,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-59.185679542999935 -34.35721924199993, -59.18475536799997 -34.35781815499996, -59.18338746499995 -34.35870462799994, -59.184989610999935 -34.36045242399996, -59.18538935999993 -34.360223995999945, -59.18711918599996 -34.358747681999944, -59.187753692999934 -34.35820616399997, -59.18778417599998 -34.358180147999974, -59.186631326999986 -34.35729538499993, -59.18623157799993 -34.35761899199997, -59.185679542999935 -34.35721924199993)))",Esri-World_Imagery 2010
areas_de_actividad_agropecuaria_AL270.836,836,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-57.82100790699997 -35.150975621999976, -57.82337100099994 -35.153792590999956, -57.832624848999956 -35.147049590999984, -57.82682844499993 -35.14134671299996, -57.81832845799994 -35.14753841499993, -57.819464574999984 -35.14913581099995, -57.82100790699997 -35.150975621999976)))",Esri-World_Imagery 2010
areas_de_actividad_agropecuaria_AL270.837,837,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-57.91420790099994 -35.11350829799994, -57.92013885699998 -35.11843623999994, -57.92313819699996 -35.11611264099997, -57.92092784799996 -35.114251888999945, -57.92504405899996 -35.11090253399993, -57.92258803999994 -35.10870075499997, -57.921148080999956 -35.10971550299996, -57.91964426199996 -35.11049977299996, -57.91896659199995 -35.11076246599998, -57.917668711999966 -35.11218814499995, -57.91420790099994 -35.11350829799994)))",Esri-World_Imagery 2010
areas_de_actividad_agropecuaria_AL270.838,838,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-57.95157649199996 -35.08203881999998, -57.95491155999997 -35.08496643899997, -57.95740523499995 -35.08307238799995, -57.95400781999996 -35.07968551799996, -57.95400766999995 -35.07968533799993, -57.95157649199996 -35.08203881999998)))",Esri-World_Imagery 2010
areas_de_actividad_agropecuaria_AL270.839,839,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-57.76098886199998 -35.066596353999955, -57.762536627999964 -35.067817454999954, -57.764615195999966 -35.06605591299996, -57.763156582999954 -35.064838762999955, -57.76098886199998 -35.066596353999955)))",Esri-World_Imagery 2010
areas_de_actividad_agropecuaria_AL270.840,840,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-57.75645753599997 -35.05167956799994, -57.759950043999936 -35.05487454499996, -57.76108682499995 -35.05407262499995, -57.759107712999935 -35.05230158599994, -57.75814260299995 -35.051256526999964, -57.75874793799994 -35.05082251299996, -57.75823968499998 -35.05040563199998, -57.75645753599997 -35.05167956799994)))",Esri-World_Imagery 2010
areas_de_actividad_agropecuaria_AL270.841,841,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-57.925287228999935 -35.01853173199993, -57.929303758999936 -35.02231983399997, -57.93128346999998 -35.02081601499998, -57.93676574899996 -35.01668527099997, -57.93449132999996 -35.014770375999944, -57.93033192099995 -35.01091127799998, -57.92736211899995 -35.01323981099995, -57.92682911899993 -35.014705558999935, -57.92728597599995 -35.015143379999984, -57.926258048999955 -35.01590480799996, -57.92743826099996 -35.01708501999997, -57.925287228999935 -35.01853173199993)))",Esri-World_Imagery 2010
